Anise Seed,2.1,#DDBE9E
Basil,0.7,#626E60
Cardamom,2.0,#8D7C3D
Cayenne,2.3,#D48157
Celery Salt,4.8,#C7C5B3
Chili Flake,2.0,#C53B2B
Chili Powder,2.7,#6A0D00
Coriander,0.5,#BA9D75
Cumin,2.0,#904820
Curry Powder,2.0,#BE9C34
Dill Seed,2.1,#C1967B
Fenugreek Seed,3.7,#D2BF5B
Garlic Powder,3.2,#E6DBB6
Ginger,1.8,#D8BA82
Ground Cinnamon,2.6,#D2691E
Mustard Powder,2.1,#FEDC56
Nutmeg,2.2,#9F8272
Onion Powder,2.4,#D1C9BC
Oregano,0.4,#8D8940
Parika,2.3,#D43800
Parsely,0.3,#265F26
Pepper,2.1,#766657
Poppy Seed,1.8,#484B54
Rosemary,1.5,#97AA8D
Saffron,1.7,#F49821
Sage,1.2,#C1C7BB
Salt,5.5,#D4D9D2
Tarragon,0.7,#6B6D55
Thyme,1.0,#909175
Turmeric,0.6,#FEAE0C